name,location,opening_time,closing_time,price_adult_foreign,price_student_foreign,reservation_link,description,url
متحف ركن فاروق,"القاهرة
كورنيش النيل، حلوان",9 ص,5 م,N/A,N/A,None,"يُعد متحف ركن حلوان أحد التحف المعمارية للمباني الملكية، التي شيدها الملك فاروق الأول عام 1942، لتكون استراحة شتوية له صُممت على هيئة قارب يرسو على شاطئ النيل، كما يوجد بها مرسى نهري لاستقبال اليخوت والسفن الكبيرة، وحديقة تضم برجولة خشبية وأكثر من 30 نوع من أشجار المانجو النادرة التي جُلبت من ألبانيا لزراعتها بالقصور الملكية.
بدأت فكره تحويل الاستراحة إلى متحف عام1976، بعد ضمها إلى قطاع المتاحف، بالمجلس الأعلى للآثار، وظل المكان بين الفتح والإغلاق، حتى تم أغلاقه عام 2011، ثم أعيد افتتاحه بعد الانتهاء من مشروع تطويره وترميمه عام 2016.
يضم المتحف عدد من القاعات بالإضافة إلى شرفة كبيرة وجناح للنوم، ويُعرض داخل هذه القاعات مجموعة قيمة من المقتنيات الملكية من أثاث، تحف، تماثيل، ولوحات، بالإضافة إلى المقتنيات الملكية المنقولة من استراحة الملك فاروق بالهرم.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%B1%D9%83%D9%86-%D9%81%D8%A7%D8%B1%D9%88%D9%82/
متحف كهف روميل,مطروح,9 ص,3 م,N/A,N/A,None,"يُعد متحف كهف روميل من المتاحف ذات الطابع الخاص والفريدة من نوعها، حيث يوجد داخل كهف عبارة عن تجويف طبيعي بالجبل كان يستخدمه الرومان قديماً في تخزين الغلال، ثم استخدمه القائد الألماني أرفين روميل ليكون مقراً له للقيادة خلال الحرب العالمية الثانية. بدأت فكرة تحول الكهف إلى متحف عام 1977، حينما زار مانفريد روميل، ابن القائد الألماني أرفين روميل، مصر وقام بإهداء محافظة مطروح بعض من مقتنيات والده العسكرية، وتم افتتاح المتحف عام 1988، ثم تم إغلاقه عام 2010 للترميم والتطوير وأُعيد افتتاحه عام 2017.
يتكون المتحف من عدد من الصالات تعرض المقتنيات الشخصية والعسكرية للقائد الألماني، من أبرزها الخرائط العسكرية بخط يده والتي تخص معارك الحرب العالمية الثانية وصور له بالزي العسكري والمعطف الخاص به، وغيرها من المقتنيات الشخصية والعسكرية.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D9%83%D9%87%D9%81-%D8%B1%D9%88%D9%85%D9%8A%D9%84/
متحف التحنيط,"الأقصر
كورنيش النيل، الأقصر",المواعيد الصباحية  9 ص,2 م، المواعيد المسائية من 5 م,EGP 220,EGP 110,https://egymonuments.com/details/MummificationMuseumLuxor,"يُعد متحف التحنيط فريد من نوعه، حيث خصص لاستعراض أسرار وطرق وأساليب وأدوات وفنون التحنيط التي اتبعها المصري القديم للحفاظ على أجساد البشر والحيوانات بعد الوفاة.
بدأت فكرة إنشاء المتحف وافتتاحه عام 1997، ليُلقي الضوء على اعتقاد المصري القديم في أهمية الحفاظ على الجسد بعد الوفاة لضمان الخلود في العالم الآخر، لذا كان التحنيط عنصراً أساسياً في الطقوس الجنائزية للمصريين القدماء. يتكون مبنى المتحف من طابق واحد تم تصميمه ليماثل حجره الدفن عند القدماء المصريين من طريق منحدر، وأضواء خافته، يتم تركيزها على القطع المعروضة، والتي تستعرض عملية التحنيط بأكملها من خلال شرح الأهمية الدينية للتحنيط والطقوس المرتبطة به، مع عرض العديد من المواد والأدوات المستخدمة في هذه العملية، منها مجموعة من الأواني الكانوبية، اللوحات الجنائزية، المومياوات البشرية والحيوانية، التوابيت، التمائم، وتماثيل المعبودات المرتبطة بالتحنيط.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D8%AA%D8%AD%D9%86%D9%8A%D8%B7/
متحف إيمحتب,"الجيزة
منطقة آثار سقارة، طريق المريوطية السياحي",8 ص,5 م,N/A,N/A,None,"يُعد متحف إيمحتب أحد أهم متاحف المواقع الأثرية بمصر، وسمي بهذا الاسم نسبةً إلى المهندس والطبيب الشهير إيمحتب الذي قام ببناء المجموعة الهرمية للملك زوسر من عصر الأسرة الثالثة بالدولة القديمة.
بدأ إنشاء المتحف منذ عام 1997 إلى أن تم افتتاحه في أبريل 2006، ثم تم غلقه مرة أخرى في مارس 2022 لإتمام أعمال التطوير به. يتمحور سيناريو العرض للمتحف حول ثلاثة موضوعات عن المهندس إيمحتب وعن الطرز المعمارية والفنية بسقارة، وكذلك تطور أساليب الدفن خلال العصور المصرية القديمة.
يتكون المتحف من ست قاعات وهي قاعة سقارة، قاعة المكتبة، قاعة العمارة، قاعة مقابر سقارة، قاعة طرز سقارة، قاعة البعثات، يُعرض بها 289 قطعة أثرية منها مجموعة من الآثار من عصر الدولة القديمة، أهمها قاعدة تمثال للملك زوسر يظهر عليها عدة ألقاب لإيمحتب، وأيضًا تمثال لإيمحتب مصنوع من البرونز، ومومياء مري إن رع وهي أقدم مومياء ملكية من عصر الدولة القديمة، ومجموعة من العناصر المعمارية، ومنحوتات لنماذج خشبية وحجرية لكبار الموظفين وغيرها من القِطَع الأثرية المميزة.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%A5%D9%8A%D9%85%D8%AD%D8%AA%D8%A8/
متحف سوهاج القومي,"سوهاج
كورنيش النيل، مدينة ناصر",الفترة الصباحية  9 ص,3 م,EGP 150,EGP 75,https://egymonuments.com/details/SohagNationalMuseum,يُعد متحف سوهاج القومي من أكبر المتاحف الإقليمية في مصر، والواجهة الحضارية لمحافظة سوهاج بموقعه المتميز، ليضم المقتنيات الأثرية التي تُستخرج من أرضها خاصةً بعد الكشف الأثري الضخم لمقبرة مريت آمون عام 1982. بدأت فكرة إنشاء المتحف عام 1993، ليعرض المقتنيات الأثرية المكتشفة في محافظة سوهاج لاسيما تلك الخاصة بمقبرة ميريت آمون والتي تم اكتشافها عام 1982. تعثرت أعمال بناء المتحف وتوقفت عدة سنوات حتى بدأ استئناف الأعمال مرة أخرى عام 2016، وتفضل فخامة رئيس الجمهورية بافتتاحه عام 2018. يتكون مبنى المتحف من بدروم وطابقين، تضم مجموعة من القطع الأثرية تُلقي الضوء على عدة موضوعات منها ملوك وشخصيات، الأسرة والوضع الاجتماعي، المطبخ المصري القديم، الحرف والصناعات، النسيج، التراث، ورحلة الحج عبر العصور. ومن أبرز القطع الأثرية التي يتم عرضها تمثال من الجرانيت الوردي للملك رمسيس الثاني من عصر الأسرة التاسعة عشر، وجزء من مقبرة وني حاكم أبيدوس والقائد الأعلى للجيش من عصر الأسرة السادسة.,https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%B3%D9%88%D9%87%D8%A7%D8%AC-%D8%A7%D9%84%D9%82%D9%88%D9%85%D9%8A/
متحف السويس,"السويس
شارع 23 يوليو، بورتوفيق",9 ص,3 م,N/A,N/A,None,"يُعد متحف السويس متحف إقليمي ثقافي يحتضن تراث محافظة السويس وآثارها، ويروى تاريخها الممتد عبر العصور. بدأت فكرة إنشاء متحف بعد انهيار المتحف القديم أثناء حرب 1967، حيث نُقلت جميع القطع الأثرية التي كانت معروضة به إلى مخازن المتحف المصري بالتحرير. تم إنشاء وافتتاح المتحف الحالي عام 2002، ثم تم غلقه للترميم والتطوير، وأعيد افتتاحه عام 2012.
يتكون المتحف من طابقين تفصل بينهما قاعة عرض مكشوفة، يُعرض بها مجموعة من الأعمدة الأثرية اليونانية والرومانية والإسلامية، بالإضافة إلى حديقة متحفية يُعرض بها نموذج لإحدى سفن أسطول الملكة حتشبسوت داخل حوض مياه صناعي. يضم المتحف مجموعة من القطع الأثرية تحكي قصة وتاريخ حفر قناة السويس منذ عصور الأسرات المصرية القديمة وحتى العصر الحديث، من أبرزها تمثال الملك سنوسرت الثالث، صاحب أول محاولة لحفر القناة في مصر القديمة من عصر الأسرة الثانية عشر، كما تبرز تاريخ علاقات مصر التجارية، وحرفتي التعدين وبناء السفن، وأهمية المدينة فيما يتعلق برحلات الحج للأراضي المقدسة، وتاريخ قناة السويس الحالية، مع تخصيص قاعة كاملة لتاريخ السويس الحديث تُوثق بطولات أبناء المدينة خلال كفاحهم المسلح ضد الاحتلال البريطاني، وخلال معركة 1973 .",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%B3/
متحف اليوناني الروماني,"الأسكندرية
شارع المتحف اليوناني الروماني، خلف المحافظة القديمة",أيام الأحد للخميس  9 ص,5 م، يومي الجمعة والسبت من 9 ص,EGP 400,EGP 200,https://egymonuments.com/details/GraecoRomanMuseum,"يُعد المتحف اليوناني الروماني أقدم مبنى في مصر صُمم خصيصًا بغرض حفظ وعرض الآثار، وهو المتحف الوحيد المتخصص في عرض آثار وحضارة مصر في العصرين اليوناني والروماني.
سعى العالم الإيطالي جيوسيبي بوتي منذ عام 1889 إلى تأسيس متحف للإسكندرية يضم مجموعة الاكتشافات الأثرية بها، وبدأ ذلك في عقار بسيط مستأجر، وافتتحه الخديوي عباس حلمي الثاني في 17 أكتوبر 1892. وقد حقق المتحف منذ بدايته صحوة ثقافية فازدادت الاكتشافات، وباتت الحاجة ملحة لمبنى جديد أكثر اتساعاً. ففي 12 سبتمبر 1894، وضع نوبار باشا حجر الأساس لمتحف جديد صممه المهندسان ديتريش وستينون على طراز كلاسيكي، ثم افتتحه الخديوي عباس حلمي الثاني مرة ثانية في 26 سبتمبر 1895.
بدأ تنفيذ أكثر من مشروع لتطوير المتحف، ففي عام 1982 أُضيف جناح جديد يصل الجناحين الغربي والشرقي به، كما تم وضع التصميم الحالي لمبنى المتحف عام 2015، وفي عام 2018 تم استئناف العمل والبدء الفعلي لتنفيذ التصميم بإضافة طابق علوي للمبنى.
يضم المتحف في عرضه الحالي حوالي 6 آلاف قطعة أثرية من عصر ما قبل الإسكندر حتى العصر البيزنطي. ويتكون مبنى المتحف من دور أرضي يحتوي على 27 قاعة للآثار، بالإضافة إلى معامل الترميم ومخازن الآثار. ودور آخر يعلو الطابق الأرضي يضم أربع قاعات وهي قاعات التربية المتحفية، والأرشيف والتسجيل، والجيبسوتيكا، والدراسة. كما يوجد طابق آخر يعرض في عدة قاعات عدد من القطع الأثرية وفقًا للتصنيف النوعي لها.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D9%8A%D9%88%D9%86%D8%A7%D9%86%D9%8A-%D8%A7%D9%84%D8%B1%D9%88%D9%85%D8%A7%D9%86%D9%8A/
متحف كوم أوشيم,"الفيوم
طريق الفيوم الصحراوي، طامية",9 ص,3 م,N/A,N/A,None,"يُعد متحف كوم أوشيم أحد المتاحف الإقليمية في مصر ليروي تاريخ محافظة الفيوم على مر العصور، وأهم الاكتشافات الأثرية بها. بدأت فكره إنشاء المتحف وافتتاحه لأول مره عام 1974، كما تم توسعته وزيادة مساحته عام 1993، حيث أُلحق به دور علوي. أُغلق المتحف وأُعيد افتتاحه عدة مرات بعد الانتهاء من مشاريع ترميمه وتطويره وإعادة تأهيله، كان آخرها عام 2016.
يتكون المتحف من مبنى من طابقين يضم مجموعة متميزة من القطع الأثرية التي تلقي الضوء على تاريخ محافظة الفيوم، وعادات وتقاليد قاطنيها منذ أقدم العصور، وأهم الحرف اليدوية والصناعات التي اشتهرت بها المحافظة وكذلك الفكر الديني الذي اعتنقه أهل المحافظة على مر العصور، الأمر الذي يعمل بشكل كبير على ربط سكان المحافظة بالمتحف.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D9%83%D9%88%D9%85-%D8%A3%D9%88%D8%B4%D9%8A%D9%85/
متحف الإسكندرية القومي,"الأسكندرية
شارع فؤاد، باب شرق",9 ص,5 م,EGP 220,EGP 110,https://egymonuments.com/details/AlexandriaNationalMuseum,"يُعد متحف الإسكندرية القومي في حد ذاته أحد التحف المعمارية الفريدة، حيث كان مبنى المتحف في الأصل قصراً لأسعد باسيلي باشا، الذي شيده على الطراز المعماري الإيطالي عام 1928. بدأت فكرة تحول القصر إلى متحف عام 1997، حينما اشترته الدولة المصرية من القنصلية الأمريكية والتي كانت تتخذه مقراً لها، حيث بدأت أعمال مشروع ترميمه وتحويله إلى متحف حتى تم افتتاحه عام 2003.
يتكون المتحف من ثلاثة طوابق تعرض مجموعة متميزة من القطع الأثرية لكافة الحقب التاريخية المختلفة للحضارة المصرية منذ عصر الدولة القديمة وحتى العصر الحديث، من أشهرها تمثال لمعبود الحب عند الإغريق.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D9%82%D9%88%D9%85%D9%8A/
المتحف القبطي,"القاهرة
شارع مار جرجس، مصر القديمة",9 ص,5 م,EGP 280,EGP 140,https://egymonuments.com/details/CopticMuseum,"يُعد المتحف القبطي أكبر متحف للآثار القبطية في العالم، يعرض مجموعات متنوعة ونادرة من الفن القبطي ومدى تأثره بفنون الثقافات الأخرى. بدأت فكرة إنشائه عام 1898، حين أوصت لجنة حفظ الآثار العربية بإنشائه بعد المجهودات التي بذلها مرقس باشا سميكة، أحد الشخصيات المسيحية البارزة الذي كان مهتماً بحفظ التراث القبطي، وقد تم افتتاحه عام 1910، ليكون مجمعاً للآثار والوثائق التي تُسهم في إثراء دراسة الفن القبطي في مصر. وقد تم افتتاح الجناح الجديد للمتحف عام 1947 كما تم تطويره عدة مرات كان آخرها عام 2006، حين تم ربط الجناح القديم والجديد للمتحف بممر.
يتكون المتحف من جناحين يضمان أكبر مجموعة في العالم من المقتنيات الأثرية التي تعكس تاريخ المسيحية في مصر منذ بداياتها الأولى، من أبرزها مجموعة من المخطوطات المزخرفة، الأيقونات، المنحوتات الخشبية، الجداريات المزخرفة بالمناظر الدينية المأخوذة من الأديرة والكنائس القديمة. كما يضم المتحف مجموعات من القطع التي توضح تأثر الفن القبطي بجميع الثقافات السائدة بما في ذلك المصرية القديمة، اليونانية، الرومانية، والإسلامية.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D9%82%D8%A8%D8%B7%D9%8A/
متحف التمساح,"أسوان
كورنيش النيل، كوم أمبو",7 ص,9 م,N/A,N/A,None,يُعد متحف التمساح أكبر متحف في العالم يخص حيوان واحد فقط هو التمساح الذي كان معبوداً لمنطقة كوم أمبو خلال العصور المصرية القديمة والمعروف باسم المعبود سوبك، كما أنه أحد متاحف المواقع في مصر. بدأت فكرة إنشاء المتحف عام 2009، وتم افتتاحه عام 2012 ليُلقي الضوء على مظاهر عبادة المعبود سوبك في مصر القديمة، الذي كان يتخذ هيئة التمساح، بالإضافة إلى ما يتصل بها من تحنيط التماسيح وغيرها من الطقوس الدينية. يتكون مبنى المتحف من طابق واحد يضم نموذجاً لمقبرة تماسيح، وعدداً كبيراً من مومياوات التماسيح مختلفة الأعمار والأحجام، بالإضافة إلى توابيت تم استخدامها لحفظ مومياوات هذا الحيوان المقدس، ولوحات تصور تقديم القرابين لهذا المعبود.,https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D8%AA%D9%85%D8%B3%D8%A7%D8%AD/
متحف طنطا,"الغربية
شارع مصطفى الجندي، طنطا",9 ص,3 م,N/A,N/A,None,"يُعد متحف طنطا أول متحف إقليمي يتم بناءه في مصر في عهد الخديوي عباس حلمي الثاني. بدأت فكرة إنشاء متحف طنطا عام 1913 بمبنى مجلس مدينة طنطا، ولكنه ما لبث أن أُغلق ثم أُعيد افتتاحه عام 1935.  ثم أُغلق مرة أخرى بعد ذلك في خمسينات القرن الماضي. طُرحت فكرة إنشاء المتحف من جديد في أوائل ثمانينات القرن الماضي، وتم الانتهاء من تجهيز المبنى الحالي للمتحف وأُعيد افتتاحه عام 1990، ثم تم إغلاقه لترميمه وتطويره وافتتاحه عام 2019.
يتكون المتحف من خمسة طوابق، خصصت ثلاثة منها لعرض مجموعة متنوعة من المقتنيات الأثرية من مختلف العصور، معظمها من مواقع أثرية بالدلتا مثل تل الفراعين، صا الحجر، صان الحجر، تل بسطا، قويسنا، وبهبيت الحجارة. ومن أبرز القطع المعروضة تمثال من البازلت للملك نفرتيس الأول من عصر الأسرة التاسعة والعشرين، وخزانات عرض تحتوي على عملات ذهبية وفضية وبرونزية من العصور اليونانية والرومانية والإسلامية.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%B7%D9%86%D8%B7%D8%A7/
متحف الأقصر,"الأقصر
كورنيش النيل، الأقصر",المواعيد الصباحية  9 ص,2 م، المواعيد المسائية من 5 م,EGP 400,EGP 200,https://egymonuments.com/details/LuxorMuseum,"يُعد متحف الأقصر من أجمل المتاحف الإقليمية في مصر وأحد الأماكن السياحية التي يتردد عليها الزائرين من السائحين والمصريين. بدأت فكره إنشاء المتحف وافتتاحه عام 1975، لإعادة إحياء الفن بمدينة طيبة القديمة، ثم أُضيفت إليه قاعة جديدة عام 1984، وتم افتتاح قاعة الخبيئة عام 1991، وقاعة مجد طيبة عام 2004.
يتكون مبنى المتحف من طابقين صُمما ليأخذا الزائر في جولة بداخلهما تبدأ بممر صاعد يقع ناحية اليمين وينتهي به إلى صالة علوية متصلة بممر هابط من الناحية الأخرى للمتحف يعيده لنقطة البداية. يضم المتحف مجموعة مميزة من القطع الأثرية من عصور ما قبل التاريخ، والعصور المصرية القديمة مع التركيز على فترة الدولة الحديثة، ثم العصرين اليوناني والروماني، فضلاً عن القطع الأثرية المعبرة عن الفن القبطي والإسلامي.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D8%A3%D9%82%D8%B5%D8%B1/
